date,open,high,low,close,volume,amount
2021-10-22,49.4,49.4,48.0,48.4,1297200.0,62866837.0
2021-10-25,48.4,50.25,47.7,49.55,1647200.0,81359380.0
2021-10-26,50.25,51.5,48.0,48.2,1309900.0,64818685.0
2021-10-27,47.6,47.6,43.85,44.2,3404200.0,152710600.0
2021-10-28,44.25,45.4,43.55,43.65,917929.0,40794896.0
2021-10-29,43.75,44.5,43.6,44.3,586916.0,25878956.0
2021-11-01,44.3,44.3,42.6,43.2,1575200.0,68023655.0
2021-11-02,44.0,45.35,42.55,43.0,1588401.0,69684503.0
2021-11-03,43.35,44.0,42.1,43.15,1523700.0,65154705.0
2021-11-04,43.55,44.3,42.9,43.7,926800.0,40315948.0
2021-11-05,43.7,44.55,42.55,42.9,1042202.0,45219664.0
2021-11-08,43.8,43.8,42.0,42.4,1652800.0,70017899.0
2021-11-09,43.05,44.5,43.05,43.55,986822.0,43025125.0
2021-11-10,43.85,46.85,43.65,46.45,2423727.0,109539752.0
2021-11-11,45.85,46.5,45.0,46.15,1358638.0,62187301.0
2021-11-12,46.9,50.0,46.8,49.25,4477961.0,218978096.0
2021-11-15,49.25,49.9,48.2,48.95,1995604.0,98138074.0
2021-11-16,48.95,55.85,48.2,54.3,8983262.0,476411957.0
2021-11-17,55.2,56.5,54.0,54.85,5103686.0,281327399.0
2021-11-18,54.0,54.0,51.7,52.65,2398868.0,126070804.0
2021-11-19,51.45,51.65,49.9,50.85,2621300.0,132725989.0
2021-11-22,52.0,52.0,49.3,49.8,1612800.0,80541995.0
2021-11-23,48.0,49.25,47.2,48.65,2488976.0,120076418.0
2021-11-24,47.9,49.75,47.35,48.7,2168891.0,105933245.0
2021-11-25,49.0,49.6,47.45,48.0,1737263.0,83858254.0
2021-11-26,48.0,48.3,46.95,47.0,1164800.0,55206619.0
2021-11-29,47.0,49.4,46.1,47.45,2487000.0,118050869.0
2021-11-30,47.95,47.95,45.05,46.6,3360416.0,154992895.0
2021-12-01,46.95,47.95,45.55,45.95,1689271.0,78220298.0
2021-12-02,46.0,46.85,45.4,46.15,1447297.0,66653260.0
2021-12-03,46.15,46.85,44.5,45.0,2179800.0,98786110.0
2021-12-06,44.9,45.75,43.2,43.2,2102200.0,92359470.0
2021-12-07,44.5,46.75,44.3,46.35,2027257.0,92273144.0
2021-12-08,46.9,47.6,46.2,46.9,1363600.0,63889885.0
2021-12-09,47.15,47.8,45.2,45.8,2335658.0,107993062.0
2021-12-10,45.8,46.15,43.7,44.7,2902849.0,129012427.0
2021-12-13,44.9,46.5,44.9,45.6,1818217.0,83139631.0
2021-12-14,45.0,45.5,44.1,44.2,1484400.0,66227160.0
2021-12-15,44.2,45.4,41.4,41.65,3589000.0,153279160.0
2021-12-16,41.7,42.65,40.1,41.4,3178415.0,130397272.0
2021-12-17,41.4,41.4,39.0,39.25,3136648.0,124213219.0
2021-12-20,39.25,39.7,36.3,36.8,3950400.0,148033895.0
2021-12-21,36.8,39.15,36.5,38.75,2045008.0,77711389.0
2021-12-22,40.0,41.0,39.0,39.55,2702400.0,107899670.0
2021-12-23,39.75,40.55,38.75,38.8,1182300.0,46436860.0
2021-12-24,39.05,40.35,39.0,39.15,677542.0,26785549.0
2021-12-28,39.15,39.5,37.2,37.5,2067200.0,78366990.0
2021-12-29,37.5,37.9,36.65,37.35,989800.0,36839070.0
2021-12-30,38.0,38.75,37.6,38.35,784000.0,29840804.0
2021-12-31,40.0,40.65,38.9,39.5,632400.0,25012233.0
2022-01-03,39.5,39.6,37.85,39.15,549000.0,21163985.0
2022-01-04,39.15,39.7,37.85,39.2,1682832.0,65162740.0
2022-01-05,38.9,38.95,34.55,35.6,6431947.0,230506979.0
2022-01-06,35.8,36.5,34.25,35.5,2703000.0,94553414.0
2022-01-07,35.85,36.5,35.0,35.6,1776800.0,63509860.0
2022-01-10,35.6,36.6,34.55,35.8,2383400.0,85198430.0
